Hour,P_el,P_fc,m_dot_el,m_dot_fc,eta_el,i_model,V,eta_F,P_comp,m_H2,P_tank_bar
3393,1583.272,143.427,23.0227518461385,7.82407331642255,0.504445578666518,3.677740812846,2.48417890221292,0.999674567856956,62.1003385092765,289.993157292357,584.014476810927
3394,1646.605,140.424,23.6844998083489,7.66025693478439,0.499243385152112,3.78341651522476,2.51008725497135,0.99968365759639,65.4035217435577,305.191835822073,614.622951757806
3395,1625.561,137.829,8.99054675048274,7.51869732427788,0.501119890593546,3.74503234805822,2.50067981207383,0.999680415290697,66.267389739287,321.216078695638,646.894022928845
3396,1532.069,135.576,7.51869732427787,7.39579412486703,0.509169793030066,3.5837379216421,2.46110900625773,0.999666031640579,63.5440491090457,322.687928121843,649.85816656801
3397,1363.716,132.998,7.39579412486705,7.25516187982435,0.524867466077632,3.28415715411537,2.38742969552616,0.999635567051721,58.2403966341324,322.810831321253,650.105680158925
3398,1133.168,130.698,7.25516187982436,7.12969478766058,0.54945474166947,2.85120734285705,2.28046954695855,0.999580228678464,50.5697623445567,322.951463566296,650.388898107163
3399,845.989,130.059,7.12969478766058,7.09483675640291,0.586842136885755,2.26681030906513,2.13495089983926,0.99947200916217,40.2074699342649,323.07693065846,650.641575097445
3400,507.942,127.881,7.09483675640291,6.97602487521479,0.646048557335229,1.49158888295941,1.93876318948121,0.999197597214649,26.4510362498366,323.111788689717,650.711775356919
3401,216.742,124.728,4.42633356248623,6.80402585713117,0.722494308020403,0.708045889585788,1.7320857095485,0.998309636293509,12.5470381851591,323.230600570906,650.95104948076
3402,54.487,118.649,1.2109837325631,6.47241087745138,0.790394031217182,0.194580988937564,1.57621453039664,0.993849064696296,3.4212198799608,320.852908276261,646.162637456008
3403,1.944,114.53,0.0400441687313356,6.24771568065897,0.728645835397614,0.00759157919662716,1.44914467207577,0.842344386683411,0.112284125185319,315.591481131372,635.56669908977
3404,0,110.392,0,6.02198401658348,0,0,0,0,0,309.383809619445,623.065128142019
3405,0,101.367,0,5.5296620571148,0,0,0,0,0,303.361825602861,610.937511484971
3406,0,95.211,0,5.19384665739301,0,0,0,0,0,297.832163545746,599.801377365877
3407,0,90.931,0,4.96036876414914,0,0,0,0,0,292.638316888353,589.341538704252
